"age","default","balance","housing","loan","duration","campaign","previous"
29,0,19,0,0,110,2,2
46,0,2232,0,0,121,1,0
36,0,613,0,0,86,2,0
46,0,-216,1,0,404,3,0
32,0,1694,1,0,929,1,0
30,0,901,1,1,601,1,0
42,0,372,1,0,654,2,0
33,0,-163,1,1,502,2,0
48,1,20,0,0,145,3,0
35,0,1810,1,0,65,2,0
34,0,415,0,0,123,1,0
44,0,759,1,0,397,1,0
55,0,989,1,1,246,4,0
40,0,0,1,0,228,2,6
48,0,-551,1,0,168,2,0
34,0,-73,1,0,90,1,0
33,0,13494,1,0,27,25,0
43,0,30,1,0,379,17,0
27,0,2171,1,0,130,1,1
37,0,103,1,0,153,1,0
49,0,87,0,0,165,1,0
37,0,1175,1,0,102,1,2
35,0,56,0,0,24,12,0
34,0,606,0,0,97,1,0
35,0,-12,1,0,212,5,0
53,0,765,1,0,959,3,7
53,0,980,1,0,352,1,0
31,0,1166,1,0,207,1,0
59,0,139,0,0,153,1,0
51,0,4,1,1,74,5,0
55,0,4809,1,0,223,2,3
46,0,7378,0,0,466,1,0
48,0,998,1,0,121,3,0
45,0,97,1,0,923,3,0
30,0,562,0,0,137,4,0
26,0,-887,1,0,827,2,0
60,0,225,0,0,54,2,0
26,0,74,1,0,106,6,0
32,0,336,1,0,139,1,0
52,0,-588,1,0,81,4,0
45,0,3854,1,0,10,3,0
50,0,-470,1,0,506,2,3
36,0,23,0,0,133,11,0
35,0,305,1,0,7,7,25
46,0,665,0,0,89,4,2
58,0,590,0,1,133,1,0
31,0,0,1,0,231,2,0
32,0,0,0,0,175,4,0
36,0,1133,1,0,293,1,2
35,0,0,1,0,121,2,0
46,0,494,1,0,724,1,0
38,0,86,1,0,218,1,0
42,0,0,0,0,325,2,0
39,0,2763,1,0,526,2,0
51,0,1415,1,0,151,3,0
33,0,1558,1,0,97,1,0
51,0,-15,0,0,212,2,0
50,0,1111,1,0,50,1,0
24,0,204,1,1,229,3,0
54,0,2171,1,1,1034,1,0
55,0,6880,0,0,353,2,0
32,0,577,0,0,101,2,0
48,0,113,0,1,38,1,0
50,0,181,1,0,599,2,0
44,0,8262,1,0,201,16,0
58,0,175,0,0,92,4,0
27,0,8366,0,0,458,2,1
45,0,7353,0,0,536,2,0
37,0,654,0,0,594,2,0
79,0,8556,0,0,326,2,2
41,0,666,1,0,253,3,0
36,0,0,1,0,60,1,1
59,0,3534,0,0,216,4,0
49,1,-1680,1,1,92,4,0
36,0,356,1,0,244,3,1
42,0,2613,1,0,174,6,0
43,0,99,0,0,24,3,0
40,0,952,0,1,140,1,0
58,0,1798,1,0,19,8,0
48,0,-19,0,1,270,1,0
37,0,3913,1,0,124,1,0
40,0,-1212,1,0,1259,2,18
31,0,1588,1,0,14,1,0
37,0,608,0,0,380,3,0
31,0,628,1,0,1083,2,0
35,0,3102,1,0,138,1,0
36,0,480,0,0,213,1,0
55,0,-966,0,1,104,1,0
41,0,400,1,0,99,6,0
37,0,2023,1,0,214,1,0
34,0,351,1,0,467,1,0
47,1,2,0,0,236,2,0
31,0,251,0,1,156,2,0
27,0,842,0,0,273,1,1
44,0,178,0,0,126,2,0
26,0,-32,1,1,14,6,0
38,0,1327,1,0,277,1,0
37,0,414,0,0,293,2,4
25,0,220,0,0,68,1,0
32,0,553,1,0,72,1,0
35,0,819,1,0,102,14,0
51,0,117,0,0,467,2,4
59,0,817,0,0,304,1,0
34,0,67,1,1,672,3,0
56,0,-1206,1,0,382,2,0
54,0,55,1,0,112,2,0
32,0,273,1,1,97,3,0
40,0,990,1,0,252,3,0
28,0,229,1,0,322,1,0
38,0,746,0,0,256,3,0
41,0,920,1,1,239,1,0
35,0,-587,1,0,111,1,0
39,0,3705,1,0,77,1,0
59,0,748,0,0,184,1,0
34,0,2178,1,0,41,1,0
48,0,5,0,0,65,6,0
33,0,991,1,0,148,1,0
36,0,-679,1,1,172,1,1
34,0,103,1,1,956,2,0
30,1,35,0,0,185,4,0
46,0,5,0,0,71,3,0
35,0,839,1,0,50,3,0
57,0,93,1,0,137,1,0
45,0,638,1,0,75,9,0
65,0,493,0,0,622,1,1
34,0,0,1,0,214,2,0
39,0,914,0,0,20,1,0
51,0,37,1,0,341,1,0
32,0,-28,0,1,400,1,0
22,0,549,0,0,154,1,0
31,0,10787,1,0,135,2,0
46,0,1069,1,0,45,2,0
54,0,7010,0,0,275,2,0
45,0,334,0,0,87,2,0
56,0,4073,0,0,239,5,0
49,0,66,1,1,59,4,0
39,0,9374,1,0,273,1,0
62,0,816,0,0,28,2,0
28,0,3694,0,1,70,2,0
58,0,6570,0,0,106,3,0
34,0,-315,1,0,56,2,0
45,0,88,0,0,150,2,0
38,0,4196,1,0,193,2,0
49,0,-147,1,0,390,1,0
48,0,1143,1,0,264,1,1
52,0,11,1,0,420,1,0
32,0,135,1,0,232,2,0
34,0,524,0,0,9,1,0
51,0,260,0,0,137,2,0
43,0,13044,0,0,36,4,0
55,0,1598,0,0,607,4,0
56,0,3337,1,0,99,3,0
50,0,112,1,0,70,5,5
54,0,1291,1,0,266,1,0
53,0,9146,0,0,136,4,0
50,0,1545,1,0,25,1,0
50,0,19447,1,1,166,1,0
30,0,411,0,0,142,1,0
49,0,902,0,0,210,2,0
28,0,0,1,0,335,2,8
48,0,312,1,1,369,2,0
21,0,361,0,0,329,1,1
43,0,2519,1,0,257,2,9
39,0,186,1,0,433,1,0
41,0,412,1,0,154,5,0
74,0,4079,0,0,343,3,0
30,0,-218,1,0,13,15,0
59,0,3800,0,1,70,1,0
26,0,205,0,0,111,1,0
22,0,246,1,0,25,1,0
33,0,8023,0,0,196,1,4
43,0,625,1,0,175,1,0
46,0,0,1,1,239,2,2
31,0,-186,1,0,172,3,0
51,0,1883,1,0,57,1,0
33,0,69,0,1,77,2,0
38,0,740,0,0,259,3,0
26,0,245,1,0,16,11,0
57,0,0,0,0,97,1,0
34,0,0,1,1,374,16,0
84,0,639,0,0,353,3,0
47,0,136,0,1,70,1,0
37,0,1698,1,0,95,2,0
38,0,168,1,1,212,3,0
53,0,0,1,1,135,5,0
38,0,157,0,0,299,5,0
39,0,0,0,0,108,7,0
41,0,121,1,0,16,6,5
51,0,3180,1,0,384,1,0
31,0,-230,1,1,715,1,0
57,0,7082,0,0,69,3,0
30,0,-99,1,0,144,5,0
41,0,1020,1,0,882,1,0
34,0,180,0,0,298,3,0
30,0,1221,1,0,279,4,0
42,0,-7,0,0,41,6,0
31,0,26965,0,0,654,2,0
32,0,3333,0,0,50,4,0
60,0,3043,0,0,235,3,0
30,0,192,0,0,423,1,0
43,0,0,1,1,539,8,5
38,0,868,0,0,452,2,0
48,0,1328,1,0,339,1,0
22,0,1161,0,1,119,1,0
49,0,1122,0,0,143,1,0
44,0,0,1,0,389,5,0
35,0,293,1,0,521,2,0
39,0,0,1,0,502,1,2
34,0,622,1,0,145,1,0
45,0,-311,1,0,1030,1,0
65,0,2179,1,0,112,7,0
58,0,309,0,0,156,2,0
32,0,0,1,0,138,1,0
33,0,79,1,0,249,2,2
40,0,1832,0,0,213,4,0
49,0,1114,0,0,283,1,0
35,0,2658,1,0,768,2,3
41,0,171,0,0,71,9,0
36,0,860,1,0,294,15,0
31,0,112,1,0,159,2,1
43,0,60,0,0,487,2,2
35,0,137,0,1,5,1,12
30,0,6495,0,0,78,3,0
61,0,1060,1,0,118,1,0
41,0,902,0,0,35,6,0
34,0,396,1,0,101,3,0
33,0,-56,0,1,119,5,0
59,0,2381,0,0,173,2,0
73,0,519,0,0,434,1,1
48,0,99,1,0,344,1,0
40,0,212,0,0,176,1,0
40,0,1206,0,1,201,5,0
33,0,5137,1,0,123,1,0
31,0,660,0,0,115,1,0
39,0,2644,1,0,253,1,0
35,0,148,0,1,199,1,0
36,0,179,0,0,411,1,0
30,0,424,0,0,298,4,0
39,0,-405,1,0,177,1,0
36,0,35,1,0,435,3,0
27,0,710,1,1,653,1,2
50,0,207,1,0,99,1,0
35,0,3636,0,1,808,2,0
45,0,118,1,0,208,2,0
47,0,14,1,0,142,1,0
41,0,0,0,0,141,2,0
27,0,-195,1,0,391,1,0
35,0,376,1,1,207,3,0
32,0,189,1,0,106,2,0
79,0,429,0,0,1006,2,0
25,0,34,0,1,316,1,0
30,0,616,1,0,19,1,0
40,0,99,0,0,15,5,0
27,0,1128,1,0,88,4,0
52,0,36,0,0,109,2,0
29,0,451,0,0,451,1,0
43,0,24,0,0,68,1,1
37,0,511,1,0,42,1,0
55,0,218,1,0,200,2,0
42,0,97,0,0,108,2,0
39,0,247,1,0,244,2,0
47,0,3696,0,0,250,2,4
50,0,199,1,1,116,2,1
32,0,132,1,1,343,2,0
30,0,124,0,0,161,2,0
46,0,410,0,1,162,5,0
59,0,0,0,0,87,4,0
33,0,804,1,1,266,1,0
